20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20260428173050, 30, HTTPtext.scr, HTTP Text Transfer, TCP, 192.168.99.52, 100.100.100.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
